file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fsl_prefix_--no_module_len5_shot2_few_shot_2_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix_--no_module_len5_shot5_few_shot_5_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fsl_prefix__len5_shot10_few_shot_10_2021-11-05-02-14, 1.2876, 11.1111, 0.6834, 33.642, 40.3704, 28.836, 
fsl_prefix__len5_shot15_few_shot_15_2021-11-05-02-14, 3.2037, 25.9259, 1.7073, 37.8717, 45.1493, 32.6146, 
fsl_prefix__len5_shot1_few_shot_1_2021-11-05-02-14, 0.0, 0.0, 0.0, 8.7637, 12.6697, 6.6986, 
fsl_prefix__len5_shot2_few_shot_2_2021-11-05-02-14, 0.0, 0.0, 0.0, 7.8003, 11.5207, 5.8962, 
fsl_prefix__len5_shot5_few_shot_5_2021-11-05-02-14, 0.0, 0.0, 0.0, 7.36, 10.6481, 5.6235, 
fslr_adapter__len5_shot10_rams_2021-11-05-02-14, 1.8832, 1.9481, 1.8226, 9.1503, 7.6642, 11.3514, 
fslr_adapter__len5_shot15_rams_2021-11-05-02-14, 2.5989, 2.4636, 2.75, 11.1483, 9.4877, 13.5135, 
fslr_adapter__len5_shot1_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_adapter__len5_shot2_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_adapter__len5_shot5_rams_2021-11-05-02-14, 1.0657, 1.9481, 0.7335, 1.676, 1.2784, 2.4324, 
fslr_both_--is_knowledge_len5_shot10_rams_2021-11-05-02-14, 5.4125, 5.9249, 4.9818, 13.0769, 12.439, 13.7838, 
fslr_both_--is_knowledge_len5_shot15_rams_2021-11-05-02-14, 10.0, 9.878, 10.125, 34.1789, 33.7731, 34.5946, 
fslr_both_--is_knowledge_len5_shot1_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_both_--is_knowledge_len5_shot2_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_both_--is_knowledge_len5_shot5_rams_2021-11-05-02-14, 0.5906, 1.5152, 0.3667, 1.6529, 1.4675, 1.8919, 
fslr_both_--no_module_len5_shot10_rams_2021-11-03-17-56, 3.2301, 3.6199, 2.9162, 9.9394, 9.011, 11.0811, 
fslr_both_--no_module_len5_shot15_rams_2021-11-03-17-56, 11.6325, 12.3422, 11.0, 30.5851, 30.1047, 31.0811, 
fslr_both_--no_module_len5_shot1_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_both_--no_module_len5_shot2_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_both_--no_module_len5_shot5_rams_2021-11-03-17-56, 0.2157, 0.9174, 0.1222, 1.1198, 0.956, 1.3514, 
fslr_both__len5_shot10_rams_2021-11-05-02-14, 15.7152, 17.5676, 14.2163, 37.2449, 35.2657, 39.4595, 
fslr_both__len5_shot15_rams_2021-11-05-02-14, 15.0893, 16.0338, 14.25, 41.2615, 40.1535, 42.4324, 
fslr_both__len5_shot1_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 1.3624, 1.3736, 1.3514, 
fslr_both__len5_shot2_rams_2021-11-05-02-14, 2.2491, 3.6517, 1.625, 5.0542, 4.5553, 5.6757, 
fslr_both__len5_shot5_rams_2021-11-05-02-14, 6.9881, 8.1566, 6.1125, 17.5751, 14.9338, 21.3514, 
fslr_both_adapter__len5_shot10_rams_2021-11-05-02-14, 17.3247, 16.8192, 17.8615, 45.4668, 45.5285, 45.4054, 
fslr_both_adapter__len5_shot1_rams_2021-11-05-02-14, 0.1726, 0.2899, 0.1229, 1.5915, 1.5625, 1.6216, 
fslr_both_adapter__len5_shot2_rams_2021-11-05-02-14, 2.8389, 3.2841, 2.5, 6.9767, 6.1224, 8.1081, 
fslr_both_adapter__len5_shot5_rams_2021-11-05-02-14, 7.8431, 8.1258, 7.5795, 21.1613, 20.2469, 22.1622, 
fslr_fine_--no_module_len5_shot10_rams_2021-11-03-17-56, 3.6014, 3.5587, 3.6452, 12.9117, 12.5964, 13.2432, 
